,B,DC,NK,Megakaryocyte,Mono,T
106,TNFRSF13B,,SIGLEC6,,MS4A7,LEF1
107,CCDC50,,HLA-DRB1,,IFITM1,IGHG1
108,AIM2,,TRGC1,,CD14,MT-CO3
109,MS4A1,,TRDC,,MCEMP1,CD1B
110,SWAP70,,LAMP3,,,CD247
111,RAG1,,GZMA,,,CD5
112,YBX3,,LILRA4,,,CD96
113,,,CD8B,,,CD3D
114,,,HLA-DRA,,,CD274
115,,,GNLY,,,BCL11B
116,,,TRGC2,,,SOCS1
117,,,UBC,,,CCR7
118,,,CHST2,,,BST2
119,,,CXCR5,,,NELL2
120,,,CD83,,,IFNG
121,,,CX3CR1,,,IFITM1
122,,,EOMES,,,LAT
123,,,ZFP36,,,RAG1
124,,,CD86,,,CD70
125,,,CIITA,,,
126,,,CD1A,,,
127,,,XCL1,,,
128,,,IL5RA,,,
129,,,CXCR4,,,
130,,,IL18RAP,,,
131,,,THBD,,,
132,,,GSG1,,,
133,,,NMUR1,,,
134,,,CD8A,,,
135,,,LAG3,,,
136,,,IL7R,,,
137,,,CD7,,,
138,,,TRAC,,,
139,,,KLRB1,,,
140,,,MKI67,,,
141,,,CD9,,,
142,,,FCGR1A,,,
143,,,HLA-DQB1,,,
144,,,UBE2C,,,
145,,,CD160,,,
146,,,CD209,,,
147,,,TIGIT,,,
148,,,IRF7,,,
149,,,CSF1R,,,
150,,,CD74,,,
151,,,HLA-DPA1,,,
152,,,CD247,,,
153,,,CD96,,,
154,,,CLEC10A,,,
155,,,CD3D,,,
156,,,IRF8,,,
157,,,CCR7,,,
158,,,SPON2,,,
159,,,IFNG,,,
160,,,KIR2DL1,,,
161,,,REL,,,
162,,,KIR2DL4,,,
163,,,CD14,,,
164,,,IFITM3,,,
